Unnamed: 0,Bed_number,Bath_number,Square_foot,Price,Expected Price,Price Percentage Increase,Address,Latitude,Longitude,rank,color
10,6.0,2.0,2200.0,4225.0,5792.227946706158,0.729,"227 Boston Ave , Medford, MA 02155",42.414633550000005,-71.12682095,10,green
186,6.0,3.0,2483.0,4600.0,6238.840300190513,0.737,"94 Monument St, Medford, MA 02155",42.41872065,-71.13416200258237,10,green
78,5.0,2.0,2200.0,4100.0,5127.787019140361,0.799,"23 Forest St , Medford, MA 02155",42.41901415,-71.10886779503551,10,green
195,4.0,1.0,2250.0,3400.0,4202.667095223691,0.809,"17 Stoughton St , Medford, MA 02155",42.415054,-71.12829314999999,10,green
121,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"221 Boston Ave , Medford, MA 02155",42.41470335,-71.12693410132505,10,green
159,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"227 Boston Ave, Medford, MA 02155",42.414633550000005,-71.12682095,10,green
79,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"227 Boston Ave, Medford, MA 02155",42.414633550000005,-71.12682095,10,green
120,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"223 Boston Ave , Medford, MA 02155",42.414771571428574,-71.12686385714287,10,green
95,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"221 Boston Ave , Medford, MA 02155",42.41470335,-71.12693410132505,10,green
122,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"229 Boston Ave , Medford, MA 02155",42.4144579,-71.12659230193842,10,green
49,5.0,2.0,1715.0,4000.0,4856.983180672678,0.823,"203 Boston Ave , Medford, MA 02155",42.415137900000005,-71.12762496324635,10,green
58,2.0,1.0,2200.0,2400.0,2845.8673186005835,0.843,"91 Hillsdale Rd , Medford, MA 02155",42.41162187272068,-71.12458788016501,10,green
241,5.0,2.0,2200.0,4345.0,5127.787019140361,0.847,"227 Boston Ave, Medford, MA 02155",42.414633550000005,-71.12682095,10,green
242,5.0,2.0,1999.0,4300.0,5015.556974744475,0.857,"217 Boston Ave , Medford, MA 02155",42.41483,-71.12718724999999,10,green
64,5.0,2.0,1999.0,4300.0,5015.556974744475,0.857,"217 Boston Ave, Medford, MA 02155",42.41483,-71.12718724999999,10,green
246,4.0,3.0,2000.0,4100.0,4640.271323450896,0.883,"231 Spring St , Medford, MA 02155",42.4212858,-71.09150790337797,10,green
269,4.0,3.0,2100.0,4175.0,4696.107166433923,0.889,"40 Alexander Ave , Medford, MA 02155",42.40512435,-71.10595473734057,10,green
84,3.0,1.0,1500.0,2800.0,3119.4573452851887,0.897,"85 Partridge Ave , Somerville, MA 02145",42.39591725,-71.1020005975,10,green
20,4.0,1.5,2235.0,3900.0,4338.59017769743,0.898,"338 Riverside Ave , Medford, MA 02155",42.41182205,-71.09413305000001,10,green
168,4.0,3.0,2000.0,4200.0,4640.271323450896,0.905,"231 Spring St, Medford, MA 02155",42.4212858,-71.09150790337797,10,green
93,3.0,1.0,1200.0,2700.0,2951.9498163361063,0.914,"47 Orchard St , Medford, MA 02155",42.4141451,-71.12298448644859,10,green
125,5.0,4.5,2100.0,5300.0,5793.443470763299,0.914,"476 Fulton St, Medford, MA 02155",42.43545847758269,-71.0965652169319,10,green
315,4.0,3.0,1494.0,4000.0,4357.741957956777,0.917,"512 Medford St, Somerville, MA 02145",42.39647993325364,-71.10384923716275,10,green
196,5.0,2.0,1500.0,4350.0,4736.936118259169,0.918,"349 Salem St, Medford, MA 02155",42.42152055,-71.09624532919997,10,green
39,4.0,2.0,2000.0,4000.0,4351.674405608509,0.919,"74 Windsor Rd , Medford, MA 02155",42.4086194,-71.112238303906,10,green
97,3.0,2.0,1200.0,3000.0,3240.5467341784924,0.925,"98 Edward St , Medford, MA 02155",42.4007134,-71.10316355061667,10,green
235,3.0,1.0,1133.0,2700.0,2914.539801537478,0.926,"47 Orchard St , Medford, MA 02155",42.4141451,-71.12298448644859,10,green
98,4.0,1.5,1800.0,3800.0,4095.704260721261,0.927,"34 Bay State Ave , Somerville, MA 02144",42.399429100000006,-71.11488044103496,10,green
328,4.0,1.5,1800.0,3800.0,4095.704260721261,0.927,"34 Bay State Ave, Somerville, MA 02144",42.399429100000006,-71.11488044103496,10,green
323,3.0,3.0,1150.0,3250.0,3501.2257305293656,0.928,"512 Medford St , Somerville, MA 02145",42.39647993325364,-71.10384923716275,10,green
81,3.0,2.0,1133.0,3000.0,3203.136719379864,0.936,"98 Edward St, Medford, MA 02155",42.4007134,-71.10316355061667,10,green
146,4.0,4.5,3000.0,5300.0,5631.52513004475,0.941,"476 Fulton St , Medford, MA 02155",42.43545847758269,-71.0965652169319,10,green
14,5.0,2.0,1500.0,4500.0,4736.936118259169,0.949,"349 Salem St , Medford, MA 02155",42.42152055,-71.09624532919997,10,green
333,3.0,3.0,1100.0,3300.0,3473.307809037852,0.95,"512 Medford St , Somerville, MA 02145",42.39647993325364,-71.10384923716275,10,green
145,4.0,1.0,1500.0,3600.0,3783.8982728509854,0.951,"10 Pinkham Rd, Medford, MA 02155",42.4143143,-71.12669505,10,green
11,3.0,1.0,2300.0,3400.0,3566.144089149408,0.953,"42 Chipman St , Medford, MA 02155",42.4177206,-71.09073012956344,9,green
87,5.0,2.0,1600.0,4595.0,4792.771961242196,0.958,"68 Winchester St, Medford, MA 02155",42.40086585,-71.11035839686079,9,green
166,5.0,2.0,1600.0,4595.0,4792.771961242196,0.958,"68 Winchester St, Medford, MA 02155",42.40086585,-71.11035839686079,9,green
